ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
1370,1016896,13200,9,144,41,112,153,177,268,82,301,301,145
1372,1016960,13250,4,227,21,210,231,177,268,82,301,301,145
1384,1017088,13350,6,185,42,149,191,177,268,82,301,301,145
1388,1017152,13400,17,103,0,120,120,177,268,82,301,301,145
1397,1017216,13450,4,235,28,211,239,177,268,82,301,301,145
1406,1017280,13500,10,144,20,134,154,177,268,82,301,301,145
1410,1017344,13550,6,268,82,192,274,177,268,82,301,301,146
1413,1017408,13600,17,144,21,140,161,177,268,82,301,301,146
1426,1017536,13700,51,248,42,257,299,177,268,82,301,301,147
1417,1017472,13650,4,20,0,24,24,177,268,82,301,301,146
1429,1017600,13750,6,228,21,213,234,177,268,82,301,301,146
1381,1017024,13300,9,21,0,30,30,177,268,82,301,301,146
1431,1017664,13800,36,123,20,139,159,177,268,82,301,301,146
1442,1017728,13850,6,266,80,192,272,177,268,82,301,301,146
1451,1017792,13900,30,144,20,154,174,177,268,82,301,301,147
1459,1017856,13950,4,248,21,231,252,177,268,82,301,301,147
1463,1017984,14050,6,165,62,109,171,177,268,82,301,301,147
